cluster-0000,動物ショー,シャチ,シャチの体験,シャチのパフォーマンス,シャチのショー,イルカとシャチのショー,イルカのショー
cluster-0001,乳搾り体験,収穫体験,体験
cluster-0002,牧場,マザーファームツアー,マザー牧場
cluster-0003,動物との触れ合い,動物たち,動物,動物とのふれあい
cluster-0004,羊のイベント,羊とヤギ
cluster-0005,イベント,アヒルのイベント
cluster-0006-0000-0000,イルカ,アシカ
cluster-0006-0000-0001,アルパカ
cluster-0021-0002,LCC
cluster-0021-0003-0000-0000-0000-0000-0000,ターミナル
cluster-0021-0003-0000-0000-0000-0000-0001,門
cluster-0021-0003-0000-0001-0000-0000-0000,エレベーター
cluster-0021-0003-0000-0001-0000-0000-0001,階段
cluster-0021-0003-0000-0002-0000-0000-0000,ドライブ
cluster-0021-0003-0000-0002-0000-0000-0001,デッキ
cluster-0021-0003-0001-0000,施設,レジャー施設
cluster-0021-0003-0001-0001,建物
cluster-0021-0003-0001-0002,改装工事
cluster-0021-0003-0002-0000-0000,スーパー
cluster-0021-0003-0002-0000-0001,ゲームセンター
cluster-0021-0003-0003-0000-0000-0000-0000,ららぽーと
cluster-0021-0003-0003-0000-0000-0000-0001,トイレ
cluster-0021-0003-0003-0001,足湯
cluster-0022-0000,広さ,広い,広場
cluster-0022-0001,駅,駅近
cluster-0022-0002,海浜幕張駅,幕張メッセ
cluster-0023,景色,展望デッキ,展望,景観,風景,海の景色,眺め
cluster-0024-0000-0000,水遊び,水しぶき
cluster-0024-0000-0001,水かけ
cluster-0024-0001-0000,海上,海
cluster-0024-0001-0001,海ほたる
cluster-0024-0002-0000-0000-0000,アクアライン
cluster-0024-0002-0000-0000-0001,航空路線
cluster-0024-0003-0000-0000-0000,水槽
cluster-0024-0003-0000-0000-0001,水族館
cluster-0024-0004-0000-0000-0000,東京湾
cluster-0024-0004-0000-0000-0001,シーワールド
cluster-0025,羽田空港,空港,空港施設
cluster-0026,空港限定商品,免税店
cluster-0027,混雑,渋滞,交通渋滞
cluster-0028,飛行機の離陸,飛行機
cluster-0029-0000,乗り物,電車
cluster-0029-0001-0000-0000-0000,観覧車
cluster-0029-0001-0000-0000-0001,車での訪問
cluster-0030-0000,バス,シャトルバス
cluster-0030-0001,ファストパス
cluster-0031-0000-0000,家族連れ,家族,子連れ,家族旅行
cluster-0031-0000-0001,大人向け,大人
cluster-0031-0000-0002,子供服,子供,子供用品,子供向け
cluster-0031-0001-0000-0000,護摩,護摩焚き
cluster-0031-0001-0000-0001,不動明王
cluster-0031-0001-0001,初詣,参拝,参道
cluster-0031-0001-0002-0000-0000-0000-0000,平和大塔
cluster-0031-0001-0002-0000-0000-0000-0001,三重塔
cluster-0031-0001-0002-0001-0000-0000-0000,お寺
cluster-0031-0001-0002-0001-0000-0000-0001,新勝寺
cluster-0031-0001-0002-0001-0001,本堂
cluster-0031-0002,ディズニー,ディズニーストア,ディズニーグッズ,ディズニーシー,ディズニーランド
cluster-0031-0003-0000-0000-0000-0000-0000,祭り
cluster-0031-0003-0000-0000-0000-0000-0001,パレード
cluster-0031-0003-0000-0000-0001-0000-0000-0000-0000,クリスマス
cluster-0031-0003-0000-0000-0001-0000-0000-0000-0001,ハロウィン
cluster-0031-0003-0000-0000-0001-0001,正月
cluster-0031-0003-0000-0001-0000-0000-0000,お経
cluster-0031-0003-0000-0001-0000-0000-0001,御朱印
cluster-0031-0003-0000-0001-0001,ジンギスカン
cluster-0031-0003-0000-0002-0000-0000-0000,音楽
cluster-0031-0003-0000-0002-0000-0000-0001,ゴルフ
cluster-0031-0003-0000-0002-0001-0000-0000,発見
cluster-0031-0003-0000-0002-0001-0000-0001,歴史
cluster-0031-0003-0001-0000,散歩,散策
cluster-0031-0003-0001-0001,迷子
cluster-0031-0003-0002-0000-0000,花,花火
cluster-0031-0003-0002-0000-0001,菜の花
cluster-0031-0003-0002-0001-0000,芝生,芝桜
cluster-0031-0003-0002-0001-0001-0000-0000,紅葉
cluster-0031-0003-0002-0001-0001-0000-0001,夕日
cluster-0031-0003-0002-0001-0002,木更津
cluster-0031-0004-0000-0000,ライトアップ,イルミネーション
cluster-0031-0004-0000-0001,プロジェクションマッピング
cluster-0031-0004-0001-0000,デートスポット,デート
cluster-0031-0004-0001-0001-0000-0000-0000,ロマンチック
cluster-0031-0004-0001-0001-0000-0000-0001,カップル
cluster-0031-0004-0002-0000-0000-0000-0000,キャスト
cluster-0031-0004-0002-0000-0000-0000-0001,キャラクター
cluster-0031-0004-0002-0000-0001,スタッフ
cluster-0031-0004-0002-0001-0000-0000-0000,アクセス
cluster-0031-0004-0002-0001-0000-0000-0001,アトラクション
cluster-0031-0004-0002-0001-0001,ロケーション
cluster-0031-0004-0002-0002-0000-0000-0000,映画館
cluster-0031-0004-0002-0002-0000-0000-0001,写真撮影
cluster-0031-0004-0002-0002-0001,外国人観光客
cluster-0031-0005-0000-0000-0000,ビッグサンダーマウンテン
cluster-0031-0005-0000-0000-0001,マウンテン系
cluster-0031-0005-0001,富士山
cluster-0031-0006-0000-0000-0000-0000-0000,ダッフィー
cluster-0031-0006-0000-0000-0000-0000-0001,ミッキーとミニー
cluster-0031-0006-0000-0001,トイストーリー
cluster-0031-0006-0001-0000-0000-0000-0000,ランド
cluster-0031-0006-0001-0000-0000-0000-0001,夢の国
cluster-0031-0006-0001-0001-0000-0000-0000,マーメイドラグーン
cluster-0031-0006-0001-0001-0000-0000-0001,シンデレラ
cluster-0031-0007-0000-0000-0000,バンジージャンプ
cluster-0031-0007-0000-0000-0001,ビッグバンドビート
cluster-0031-0007-0001-0000-0000-0000-0000,ミラコスタ
cluster-0031-0007-0001-0000-0000-0000-0001,スターバックス
cluster-0031-0007-0001-0001,ベルーガ
cluster-0031-0007-0001-0002,ロピア
