cluster-0000-0000,シャボテン,シャボテン公園
cluster-0000-0001,サボテン,サボテンソフトクリーム,サボテン料理
cluster-0000-0002-0000-0000,キリン,キリンの餌やり体験,キリンの餌やり
cluster-0000-0002-0000-0001-0000,ふれあい,動物との触れ合い
cluster-0000-0002-0000-0001-0001-0000,餌やり体験,動物の餌やり
cluster-0000-0002-0000-0001-0001-0001,エサやり
cluster-0004-0003-0001-0000,おみやげ,お土産店,お土産
cluster-0004-0003-0001-0001,お菓子,スイーツ,アイスクリーム
cluster-0004-0003-0001-0002,香り,味
cluster-0004-0003-0001-0003-0000-0000-0000,海鮮丼
cluster-0004-0003-0001-0003-0000-0000-0001,塩辛
cluster-0005,吹きガラス体験,吹きガラス,ガラス体験,ガラス作り体験,ガラス作り
cluster-0006,製造工程,工程,工場見学,工場の工程,工場,工房
cluster-0007-0000-0000,ろくろ体験,ろくろ
cluster-0007-0000-0001-0000-0000,電動ろくろ
cluster-0007-0000-0001-0000-0001,サンドブラスト
cluster-0007-0001,粘土,陶芸,陶器
cluster-0007-0002-0000-0000-0000,パイ
cluster-0007-0002-0000-0000-0001,サイ
cluster-0007-0003-0000-0000-0000,幹
cluster-0007-0003-0000-0000-0001,干物
cluster-0007-0004,グラス,コップ
cluster-0007-0005-0000-0000-0000,食器
cluster-0007-0005-0000-0000-0001,衣服
cluster-0008,完成度,仕上げ,完成,完成品
cluster-0009,料金,価格,コスト
cluster-0010-0000,動画説明,説明
cluster-0010-0001-0000-0000-0000,映像
cluster-0010-0001-0000-0000-0001,思い出
cluster-0010-0001-0001,歴史
cluster-0011-0000-0000,色
cluster-0011-0000-0001,形状
cluster-0012-0000-0000-0000-0000,デザイン
cluster-0012-0000-0000-0000-0001,ブランド
cluster-0012-0001,作品
cluster-0013-0000-0000-0000-0000,時間
cluster-0013-0000-0000-0000-0001,平日
cluster-0013-0001-0000-0000-0000,自由
cluster-0013-0001-0000-0000-0001,オプション
cluster-0014-0000,バス,ジャングルバス,サファリバス,シャトルバス
cluster-0014-0001-0000,乗り物,車
cluster-0014-0001-0001,マイカー
cluster-0014-0001-0002,自家用車
cluster-0014-0002-0000,駅,道の駅
cluster-0014-0002-0001-0000-0000,立地
cluster-0014-0002-0001-0000-0001,パワースポット
cluster-0014-0003-0000,散歩,歩道
cluster-0014-0003-0001-0000-0000,高速道路
cluster-0014-0003-0001-0000-0001,坂道
cluster-0014-0004,駐車場,駐車
cluster-0014-0005,混雑,交通渋滞
cluster-0015,伊豆旅行,伊豆
cluster-0016,伊豆公園,伊豆高原
cluster-0017-0000,写真撮影,スマホ撮影台,写真スポット
cluster-0017-0001,景観,景色,パノラマビュー,眺め
cluster-0017-0002,観光客,外国人観光客
cluster-0017-0003-0000-0000-0000,観覧車
cluster-0017-0003-0000-0000-0001,遊覧船
cluster-0017-0003-0001,遊園地
cluster-0018-0000-0000-0000-0000,浜名湖
cluster-0018-0000-0000-0000-0001,熱海
cluster-0018-0000-0001,海
cluster-0018-0000-0002,マリンタウン
cluster-0018-0001-0000-0000-0000,山
cluster-0018-0001-0000-0000-0001,登山
cluster-0018-0001-0001,富士山
cluster-0018-0001-0002,山頂
cluster-0018-0002-0000-0000-0000,出来上がり
cluster-0018-0002-0000-0000-0001,届く
cluster-0018-0003-0000,焼き上がり,山焼き
cluster-0018-0003-0001,火口
cluster-0018-0004-0000,御神木,大きな木
cluster-0018-0004-0001-0000-0000,木
cluster-0018-0004-0001-0000-0001,楠
cluster-0018-0005-0000-0000-0000,トイレ
cluster-0018-0005-0000-0000-0001,風呂
cluster-0018-0005-0001-0000-0000-0000-0000,温泉
cluster-0018-0005-0001-0000-0000-0000-0001,日帰り温泉施設
cluster-0018-0005-0001-0001,足湯
cluster-0018-0005-0001-0002,スパ
cluster-0018-0006-0000-0000-0000-0000-0000,植物
cluster-0018-0006-0000-0000-0000-0000-0001,緑
cluster-0018-0006-0000-0001-0000-0000-0000,鳥
cluster-0018-0006-0000-0001-0000-0000-0001,魚
cluster-0018-0006-0000-0001-0001-0000-0000-0000-0000,橋
cluster-0018-0006-0000-0001-0001-0000-0000-0000-0001,鳥居
cluster-0018-0006-0000-0001-0001-0001,島
cluster-0018-0006-0001-0000-0000-0000-0000,リフト
cluster-0018-0006-0001-0000-0000-0000-0001,ライトアップ
cluster-0018-0006-0001-0001-0000-0000-0000,ゴルフ
cluster-0018-0006-0001-0001-0000-0000-0001,アーチェリー
cluster-0018-0006-0001-0001-0001,ワラビー
cluster-0018-0007-0000-0000-0000-0000-0000,お守り
cluster-0018-0007-0000-0000-0000-0000-0001,ご利益
cluster-0018-0007-0000-0001,ポイントカード制度
cluster-0018-0007-0001-0000-0000,とんぼ玉
cluster-0018-0007-0001-0000-0001,孔雀
cluster-0018-0007-0002-0000-0000-0000-0000,静かさと癒し
cluster-0018-0007-0002-0000-0000-0000-0001,休憩
cluster-0018-0007-0002-0001-0000-0000-0000,ほけきょ庵
cluster-0018-0007-0002-0001-0000-0000-0001,猫の館
cluster-0018-0007-0002-0001-0001,落ち葉のハート
cluster-0019-0000,自然要素,自然エリア,自然
cluster-0019-0001-0000,空,空気
cluster-0019-0001-0001-0000,天気,風
cluster-0019-0001-0001-0001,曇り
cluster-0019-0002-0000,雰囲気,店内の雰囲気
cluster-0019-0002-0001-0000-0000,温室
cluster-0019-0002-0001-0000-0001,気温
cluster-0020,広大さ,広さ,広い,大きさ
cluster-0021,迫力,パワー
cluster-0022,生命力,寿命
cluster-0023-0000,満足感,満足度
cluster-0023-0001,楽しさ,楽しむ
cluster-0024-0000,施設,建物,敷地,建築物
cluster-0024-0001,入場・入館,チケット,入場料
cluster-0024-0002-0000,園内,境内
cluster-0024-0002-0001,入園料,入園・開園
cluster-0025,神社,来宮神社,神社建築
cluster-0026,お鉢巡り,お参り,参拝
cluster-0027-0000-0000-0000-0000,試食
cluster-0027-0000-0000-0000-0001,体験
cluster-0027-0001,見学
cluster-0028-0000,子供,家族,家族連れ,子連れ,子供連れ
cluster-0028-0001-0000,丁寧な対応,丁寧
cluster-0028-0001-0001,スタッフ,スタッフ対応
cluster-0028-0001-0002-0000-0000,対応
cluster-0028-0001-0002-0000-0001,サポート
cluster-0028-0001-0003-0000-0000-0000-0000,予約
cluster-0028-0001-0003-0000-0000-0000-0001,受付
cluster-0028-0001-0003-0001,アクセス
cluster-0028-0002-0000-0000-0000-0000-0000,教え方
cluster-0028-0002-0000-0000-0000-0000-0001,指導
cluster-0028-0002-0000-0001,アドバイス
cluster-0028-0002-0001-0000-0000,初心者
cluster-0028-0002-0001-0000-0001,年齢層
cluster-0028-0002-0002-0000-0000-0000-0000,飼育員
cluster-0028-0002-0002-0000-0000-0000-0001,職人
cluster-0028-0002-0002-0001,担当者
cluster-0028-0002-0003-0000,先生,講師
cluster-0028-0002-0003-0001,お兄さん
