cluster-0000-0000,ソフトクリーム,わさびソフトクリーム
cluster-0000-0001,ワサビ栽培施設,ワサビ料理
cluster-0000-0002,わさびコロッケ,わさび丼
cluster-0000-0003,わさびの植物部位,わさび,わさび田,わさび栽培,わさびソフト,生わさび
cluster-0001-0000-0000,おさる
cluster-0012-0000,子供,子供連れ,子供の遊び場
cluster-0012-0001,ペット同伴,ペット
cluster-0012-0002-0000-0000-0000,外国人
cluster-0012-0002-0000-0000-0001,観光客
cluster-0012-0002-0001,お土産
cluster-0012-0002-0002,高齢者
cluster-0013-0000,高級ブランド,ブランド
cluster-0013-0001-0000-0000-0000,靴
cluster-0013-0001-0000-0000-0001,スニーカー
cluster-0013-0002-0000-0000-0000,ビール
cluster-0013-0002-0000-0000-0001,芝生
cluster-0013-0003-0000-0000-0000,歴史
cluster-0013-0003-0000-0000-0001,価格
cluster-0014-0000,駅からのアクセス,駅
cluster-0014-0001-0000-0000-0000,スタッフ
cluster-0014-0001-0000-0000-0001,アクセス
cluster-0015-0000-0000-0000-0000,バス
cluster-0015-0000-0000-0000-0001,タクシー
cluster-0015-0001,マイカー規制
cluster-0016-0000-0000-0000-0000,ロケーション
cluster-0016-0000-0000-0000-0001,パワースポット
cluster-0016-0001-0000-0000-0000,ライトアップ
cluster-0016-0001-0000-0000-0001,展示
cluster-0016-0001-0001,写真撮影
cluster-0017-0000-0000-0000-0000,星空
cluster-0017-0000-0000-0000-0001,暗闇
cluster-0017-0001-0000-0000-0000,朝のお勤め
cluster-0017-0001-0000-0000-0001,平日
cluster-0017-0002-0000-0000-0000,混雑
cluster-0017-0002-0000-0000-0001,待ち時間
cluster-0017-0002-0001,移動距離
cluster-0018-0000-0000-0000,ハイキング・トレッキング,登山
cluster-0018-0000-0000-0001,散策,散策・散歩
cluster-0018-0000-0000-0002,遊歩道,歩く
cluster-0018-0000-0001-0000,階段,階段と坂道,坂道
cluster-0018-0000-0001-0001-0000,山門,随神門
cluster-0018-0000-0001-0001-0001-0000,参道,山道
cluster-0018-0000-0001-0001-0001-0001,仲見世通り
cluster-0018-0001-0000,お城,城,天守
cluster-0018-0001-0001-0000-0000,田代
cluster-0018-0001-0001-0000-0001,回向柱
cluster-0018-0001-0002-0000-0000-0000-0000,本堂
cluster-0018-0001-0002-0000-0000-0000-0001,お堀
cluster-0018-0001-0002-0001,宿坊
cluster-0018-0001-0003-0000,施設内,施設,園内
cluster-0018-0001-0003-0001-0000-0000-0000,駐車場
cluster-0018-0001-0003-0001-0000-0000-0001,敷地
cluster-0018-0001-0003-0002-0000,庭園,公苑,公園
cluster-0018-0001-0003-0002-0001-0000-0000-0000-0000,館
cluster-0018-0001-0003-0002-0001-0000-0000-0000-0001,農場
cluster-0018-0001-0003-0002-0001-0001,ドッグラン
cluster-0018-0001-0003-0003-0000,入場,入場料
cluster-0018-0001-0003-0003-0001,建築,建築物
cluster-0018-0001-0003-0003-0002-0000-0000,外観
cluster-0018-0001-0003-0003-0002-0000-0001,内部
