cluster-0000,二見,二見興玉神社,二見浦
cluster-0001,参拝,お伊勢参り
cluster-0002,伊勢うどん,伊勢,伊勢神宮
cluster-0003-0000-0000,神聖,神聖な場所
cluster-0003-0000-0001-0000,神社,神宮
cluster-0003-0000-0001-0001,神
cluster-0011,遊園地,ディズニーランド,テーマパーク
cluster-0012,アトラクション,ジェットコースター,遊園地のアトラクション
cluster-0013-0000-0000,景観,景色
cluster-0013-0000-0001,パワースポット,絶景スポット
cluster-0013-0000-0002-0000-0000,観覧車
cluster-0013-0000-0002-0000-0001,観光客
cluster-0013-0001,絶叫系,絶叫
cluster-0013-0002-0000-0000-0000,富士山
cluster-0013-0002-0000-0000-0001,ピレネー山脈
cluster-0013-0003-0000-0000-0000,スチールドラゴン
cluster-0013-0003-0000-0000-0001,ホワイトサイクロン
cluster-0014-0000,お土産,お土産屋,お土産店
cluster-0014-0001,アウトレット,アウトレットモール
cluster-0014-0002,ブランド,ブランドショップ
cluster-0014-0003-0000-0000-0000,セール
cluster-0014-0003-0000-0000-0001,お値打ち
cluster-0014-0004,ショッピング,買い物
cluster-0014-0005,お店,店舗数
cluster-0015,食事,食事場所,飲食店,飲食施設
cluster-0016-0000-0000,レストラン
cluster-0016-0000-0001,フードコート
cluster-0017-0000,食べ歩き,美味しいもの,食べ物
cluster-0017-0001-0000-0000-0000,豆腐スイーツ
cluster-0017-0001-0000-0000-0001,パエリア
cluster-0018-0000,赤福氷,赤福,赤福ぜんざい
cluster-0018-0001-0000-0000-0000,ドクターフィッシュ
cluster-0018-0001-0000-0000-0001,魚
cluster-0018-0001-0001,スナメリ
cluster-0018-0002-0000-0000-0000,松阪牛
cluster-0018-0002-0000-0000-0001,豚捨
cluster-0018-0003-0000-0000-0000,おみくじ
cluster-0018-0003-0000-0000-0001,しめ縄
cluster-0018-0004-0000-0000-0000,きゅうり
cluster-0018-0004-0000-0000-0001,寿司
cluster-0018-0004-0001,コロッケ
cluster-0019-0000,カップル・夫婦,夫婦岩,夫婦
cluster-0019-0001-0000,子供,小さい子供
cluster-0019-0001-0001-0000-0000,大人
cluster-0019-0001-0001-0000-0001,小学生
cluster-0019-0002,家族連れ,家族,ファミリー向け,子連れ,子供連れ
cluster-0020-0000-0000,時間帯,待ち時間
cluster-0020-0000-0001,平日
cluster-0020-0001,入場料,入場
cluster-0020-0002,駐車場,駐車料金
cluster-0020-0003-0000-0000-0000,料金
cluster-0020-0003-0000-0000-0001,支払い手段
cluster-0021-0000,園内,館内,境内
cluster-0021-0001,施設,敷地,施設の広さ
cluster-0022-0000-0000-0000-0000,足湯
cluster-0022-0000-0000-0000-0001,温泉
cluster-0022-0001-0000-0000-0000,プール
cluster-0022-0001-0000-0000-0001,水槽
cluster-0023,休憩所,休憩
cluster-0024,宿泊施設,ホテル
cluster-0025,混雑,人混み,渋滞,人の多さ,混雑状況
cluster-0026-0000,横丁,おかげ横丁
cluster-0026-0001,町並み,おはらい町,街並み
cluster-0027-0000,歩く,歩道,散歩
cluster-0027-0001-0000-0000-0000,参道
cluster-0027-0001-0000-0000-0001,通路
cluster-0027-0001-0001,アクセス方法
cluster-0028,規模,広さ,大きさ
cluster-0029-0000,雰囲気,厳かな雰囲気
cluster-0029-0001,厳粛
cluster-0030-0000-0000-0000-0000,賑やかさ
cluster-0030-0000-0000-0000-0001,可愛さ
cluster-0030-0001,種類の多さ
cluster-0031-0000-0000,綺麗
cluster-0031-0000-0001,心が洗われる
cluster-0032-0000-0000-0000-0000,静けさ
cluster-0032-0000-0000-0000-0001,癒し
cluster-0032-0001,寒さ
cluster-0033-0000,天候,空気,天気,風
cluster-0033-0001-0000,パワー,スピード
cluster-0033-0001-0001-0000-0000,感情
cluster-0033-0001-0001-0000-0001,自然
cluster-0033-0001-0002-0000-0000-0000-0000,バス
cluster-0033-0001-0002-0000-0000-0000-0001,波
cluster-0033-0001-0002-0001,トド
cluster-0033-0001-0002-0002,マナティ
cluster-0033-0002-0000,木,木々
cluster-0033-0002-0001,緑
cluster-0033-0003-0000-0000-0000,海沿い
cluster-0033-0003-0000-0000-0001,海
cluster-0033-0004-0000-0000-0000,砂利
cluster-0033-0004-0000-0000-0001,岩
cluster-0033-0005-0000-0000-0000,川
cluster-0033-0005-0000-0000-0001,五十鈴川
cluster-0033-0005-0001,宇治
cluster-0034,楽しい,楽しむ,楽しめる,楽しさ
cluster-0035-0000-0000-0000-0000,スライダー
cluster-0035-0000-0000-0000-0001,ダンサー
cluster-0035-0001-0000-0000-0000,スタッフ
cluster-0035-0001-0000-0000-0001,飼育員
cluster-0035-0002-0000-0000-0000,招き猫
cluster-0035-0002-0000-0000-0001,キャラクター
cluster-0035-0003-0000,写真撮影,写真
cluster-0035-0003-0001-0000-0000-0000-0000,デート
cluster-0035-0003-0001-0000-0000-0000-0001,イベント
cluster-0035-0003-0001-0001,体験
cluster-0035-0003-0002-0000-0000-0000-0000,ボール遊び
cluster-0035-0003-0002-0000-0000-0000-0001,ふれあい
cluster-0035-0003-0002-0001,太鼓の演奏
cluster-0036-0000-0000-0000-0000,カード
cluster-0036-0000-0000-0000-0001,チケット
cluster-0036-0001,パスポート
cluster-0036-0002,地図
cluster-0037-0000,コースター,コース
cluster-0037-0001,ゴーカート
cluster-0038-0000-0000,バイク,バイクレース
cluster-0038-0000-0001,サーキット,レース
cluster-0038-0001-0000,子供向けの乗り物,乗り物
cluster-0038-0001-0001,ベビーカーのレンタル
