cluster-0000-0000-0000,空,空気
cluster-0000-0000-0001-0000,天気,風
cluster-0000-0000-0001-0001,流れ
cluster-0014-0001-0001-0003,バラス島
cluster-0014-0001-0001-0004,アイランドクルー
cluster-0014-0001-0002-0000-0000,慶良間諸島
cluster-0014-0001-0002-0000-0001,八重山
cluster-0014-0001-0003-0000,竹富島,由布島
cluster-0014-0001-0003-0001-0000-0000-0000,宮古島の海
cluster-0014-0001-0003-0001-0000-0000-0001,水納島
cluster-0015-0000,景色,風景,絶景,景観
cluster-0015-0001-0000-0000-0000,展望台
cluster-0015-0001-0000-0000-0001,観覧車
cluster-0015-0001-0001,観光名所
cluster-0016,サンセット,夕日,サンセットとサンライズ
cluster-0017,星空,星空観測,星
cluster-0018,青い海,海の色,エメラルドグリーンの海,海の美しさ,青い海と空
cluster-0019,サンゴ礁,珊瑚と魚,珊瑚礁,サンゴ
cluster-0020-0000-0000,ビーチ,サンセットビーチ
cluster-0020-0000-0001,コンドイビーチ
cluster-0020-0001-0000-0000-0000-0000-0000,海
cluster-0020-0001-0000-0000-0000-0000-0001,オーシャン
cluster-0020-0001-0000-0001,海岸
cluster-0020-0001-0001-0000-0000-0000-0000,海水浴
cluster-0020-0001-0001-0000-0000-0000-0001,潮汐
cluster-0020-0001-0001-0001,北谷
cluster-0021-0000,浜辺,浜
cluster-0021-0001,砂浜,星の砂,白砂の道
cluster-0022-0000-0000-0000-0000,橋
cluster-0022-0000-0000-0000-0001,西桟橋
cluster-0022-0001-0000,川平公園,川平湾
cluster-0022-0001-0001,川
cluster-0022-0001-0002,湾
cluster-0022-0002-0000-0000-0000,比謝川
cluster-0022-0002-0000-0000-0001,マングースの川
cluster-0023,カヌー,カヤック,カヤックツアー,キャニオニング
cluster-0024-0000-0000-0000-0000,グラスボート
cluster-0024-0000-0000-0000-0001,バナナボート
cluster-0024-0001-0000-0000-0000,フェリー
cluster-0024-0001-0000-0000-0001,高速船
cluster-0024-0002,船長,船,ボート
cluster-0025-0000,マングローブカヤック,マングローブカヌー体験
cluster-0025-0001,マングローブ,マングローブツアー,マングローブSUP
cluster-0025-0002-0000,パンプキン鍾乳洞,鍾乳洞
cluster-0025-0002-0001,青の洞窟,洞窟,青の洞窟シュノーケリング
cluster-0025-0003-0000,古宇利大橋,古宇利オーシャンタワー
cluster-0025-0003-0001-0000,タワー,塔
cluster-0025-0003-0001-0001,シーサー
cluster-0025-0004-0000-0000-0000-0000-0000,浮き輪
cluster-0025-0004-0000-0000-0000-0000-0001,パラソル
cluster-0025-0004-0000-0000-0001,パラセーリング
cluster-0025-0004-0000-0001-0000-0000-0000,防水用品
cluster-0025-0004-0000-0001-0000-0000-0001,雑貨
cluster-0025-0004-0000-0001-0001,マスクとゴーグル
cluster-0025-0004-0001-0000,ハートロック,ハート岩
cluster-0025-0004-0001-0001-0000-0000-0000,パンプキンケイブ
cluster-0025-0004-0001-0001-0000-0000-0001,ハロウィン
cluster-0025-0004-0001-0002-0000-0000-0000,ハイビスカス
cluster-0025-0004-0001-0002-0000-0000-0001,サガリバナ鑑賞
cluster-0025-0004-0001-0002-0001,ガジュマル
cluster-0025-0005-0000-0000,アメリカン雑貨と服飾,アメリカンな雰囲気
cluster-0025-0005-0000-0001,アメリカンビレッジ
cluster-0025-0005-0001,沖縄お土産,沖縄料理,沖縄本島
cluster-0025-0005-0002-0000,ステーキ,ハンバーガーとステーキ
cluster-0025-0005-0002-0001-0000-0000-0000,海鮮丼
cluster-0025-0005-0002-0001-0000-0000-0001,タコスとタコライス
cluster-0026,マリンスポーツ・アクティビティ,マリンスポーツ
cluster-0027,マリンアクティビティ,マリンアクティビティ体験
cluster-0028,レジャー活動,アクティビティ
cluster-0029,シュノーケリング,シュノーケル,ダイビング,ダイビング体験,体験ダイビング,シュノーケリングツアー,シュノーケリング・ダイビング体験,ボートシュノーケリング
cluster-0030,牛車,水牛,水牛車
cluster-0031,生き物や植物の説明,動植物,生き物,海の生き物
cluster-0032-0000-0000,自然
cluster-0032-0000-0001,生物
cluster-0033-0000-0000-0000-0000,水槽
cluster-0033-0000-0000-0000-0001,水族館
cluster-0033-0001,美ら海,美ら海水族館
cluster-0033-0002,イルカショー,イルカ
cluster-0033-0003-0000-0000-0000,シーワールド
cluster-0033-0003-0000-0000-0001,ホエールウォッチング
cluster-0034,餌やり体験,餌付け
cluster-0035,ジンベイザメの餌やり,ジンベイザメの水槽,ジンベイザメ
cluster-0036-0000-0000,カクレクマノミ,クマノミ
cluster-0036-0000-0001-0000-0000,ナマコ
cluster-0036-0000-0001-0000-0001,ニモ
cluster-0036-0001-0000-0000-0000,Gigi
cluster-0036-0001-0000-0000-0001,マナティ
cluster-0036-0002-0000,鯨類,クジラ,鯨
cluster-0036-0002-0001-0000-0000,サメ
cluster-0036-0002-0001-0000-0001,マンタ
cluster-0036-0002-0002-0000-0000,ウミガメ
cluster-0036-0002-0002-0000-0001,むるぬーし
cluster-0036-0002-0003-0000,魚,熱帯魚,魚介類
cluster-0036-0002-0003-0001-0000,甲殻類,ヤシガニ
cluster-0036-0002-0003-0001-0001,亀
