cluster-0000-0000,百貨店,デパート
cluster-0000-0001,阪急
cluster-0018,駅,駅ビル,駅舎
cluster-0019,交通,交通機関
cluster-0020,混雑,渋滞
cluster-0021,利便性,便利
cluster-0022,賑やかさ,賑わい
cluster-0023,地下鉄,地下,地下街
cluster-0024,市街地,通り,街並み,街
cluster-0025,食事,食事場所
cluster-0026,飲食店,飲食施設,飲食
cluster-0027,飲酒
cluster-0028,価格,入場料,料金,値段
cluster-0029-0000,ビール,地ビール
cluster-0029-0001,スタバ,スターバックス
cluster-0029-0002-0000,レストラン,ホテル
cluster-0029-0002-0001,カフェ
cluster-0030,展示,ショー
cluster-0031-0000-0000-0000-0000,洋服
cluster-0031-0000-0000-0000-0001,商品
cluster-0031-0001-0000-0000-0000,ブランド
cluster-0031-0001-0000-0000-0001,ファッション
cluster-0032-0000-0000,ベンチ
cluster-0032-0000-0001,バナナ
cluster-0033-0000,アウトレット,アウトレットモール
cluster-0033-0001-0000,セール,バーゲン
cluster-0033-0001-0001,割引
cluster-0033-0001-0002,リーズナブル
cluster-0034-0000,カップルデート,カップル
cluster-0034-0001,コース,デートコース
cluster-0034-0002-0000-0000-0000,デート
cluster-0034-0002-0000-0000-0001,イベント
cluster-0034-0003-0000-0000-0000,アクセス
cluster-0034-0003-0000-0000-0001,メニュー
cluster-0035-0000-0000,散歩,散策
cluster-0035-0000-0001,修学旅行
cluster-0035-0001,ジョギング,ランニング
cluster-0035-0002,運動,移動
cluster-0036-0000-0000-0000-0000,通路
cluster-0036-0000-0000-0000-0001,参道
cluster-0036-0001,在来線
cluster-0037-0000-0000-0000-0000,リニューアル
cluster-0037-0000-0000-0000-0001,新幹線
cluster-0037-0001,年間パス
cluster-0038,レトロ,レトロな雰囲気,レトロな建物
cluster-0039-0000,美術館,博物館
cluster-0039-0001-0000,映画,映画館
cluster-0039-0001-0001,演劇
cluster-0039-0001-0002,写真撮影
cluster-0040-0000,花火大会,花火
cluster-0040-0001,イルミネーション,照明,ライトアップ
cluster-0041,展望施設,展望台,展望
cluster-0042,景観,景色,眺め
cluster-0043,夜景,夕暮れ
cluster-0044-0000-0000,空港,港
cluster-0044-0000-0001-0000-0000,海
cluster-0044-0000-0001-0000-0001,湖
cluster-0044-0000-0002-0000,中洲,中洲の屋台
cluster-0044-0000-0002-0001-0000-0000-0000,海の中道
cluster-0044-0000-0002-0001-0000-0000-0001,関門海峡
cluster-0044-0000-0002-0002-0000-0000-0000,明太子
cluster-0044-0000-0002-0002-0000-0000-0001,島
cluster-0044-0000-0002-0002-0001,マルイ
cluster-0044-0001,スワンボート,ボート,船舶
cluster-0044-0002-0000,プール,池
cluster-0044-0002-0001-0000-0000-0000-0000,水槽
cluster-0044-0002-0001-0000-0000-0000-0001,トイレ
cluster-0044-0002-0001-0001,噴水
cluster-0045,広さ,広い
cluster-0046-0000-0000,雰囲気
cluster-0046-0000-0001,迫力
cluster-0047-0000-0000,くうてん
cluster-0047-0000-0001,空
cluster-0048-0000-0000,天井
cluster-0048-0000-0001,高さ
cluster-0049-0000,天気,天候,風
cluster-0049-0001-0000,週末,平日
cluster-0049-0001-0001-0000-0000,雨の日
cluster-0049-0001-0001-0000-0001,昼
cluster-0050-0000,梅ヶ枝餅,梅,梅の花
cluster-0050-0001-0000,アザラシ,アシカ
cluster-0050-0001-0001-0000-0000-0000-0000,ムーミン
cluster-0050-0001-0001-0000-0000-0000-0001,ペンギン
cluster-0050-0001-0001-0001,KITTE
cluster-0050-0002-0000-0000,美味しい,味
cluster-0050-0002-0000-0001,楽しい
cluster-0050-0002-0001-0000-0000-0000-0000,生き物
cluster-0050-0002-0001-0000-0000-0000-0001,魚
cluster-0050-0002-0001-0001,自然
cluster-0050-0002-0002-0000-0000,癒し
cluster-0050-0002-0002-0000-0001,リラックス
cluster-0050-0002-0003-0000-0000-0000-0000,桜
cluster-0050-0002-0003-0000-0000-0000-0001,緑
cluster-0050-0002-0003-0001,クリスマス
